M	D	C	B	N	Msc	W	M_pl	D_pl	C_pl	B_pl	N_pl	Msc_pl	W_pl
krojcze	krojczego	krojczemu	krojcze	krojczym/krojczem	krojczym/krojczem	krojcze	krojcze	krojczych	krojczym	krojcze	krojczymi	krojczych	krojcze
nastawnicze	nastawniczego	nastawniczemu	nastawnicze	nastawniczym/nastawniczem	nastawniczym/nastawniczem	nastawnicze	nastawnicze	nastawniczych	nastawniczym	nastawnicze	nastawniczymi	nastawniczych	nastawnicze
sze	sza	szu	sze	szem	szu	sza	sza	sz	szom	sza	szami	szach	sza
szo	sza	szu	szo	szem	szu	sza	sza	sz	szom	sza	szami	szach	sza
wie	wia	wiu	wie	wiem	wiu	wie	wia	wiów	wiom	wia	wiami	wiach	wia
dzie	dzia	dziu	dzie	dziem	dziu	dzie	dzia	dziów	dziom	dzia	dziami	dziach	dzia
gospodyń	gospodynia	gospodyniu	gospodynia	gospodyniem	gospodyniu	gospodyniu	gospodynia	gospodyniów	gospodyniom	gospodynia	gospodyniami	gospodyniach	gospodynia
mie	mia	miu	mie	miem	miu	mie	mia	miów	miom	mia	miami	miach	mia
mo	ma	mu	mo	mem	mu	mo	ma	m	mom	ma	mami	mach	ma
cechownicze	cechowniczego	cechowniczemu	cechownicze	cechowniczym/cechowniczem	cechowniczym/cechowniczem	cechownicze	cechownicze	cechowniczych	cechowniczym	cechownicze	cechowniczymi	cechowniczych	cechownicze
śledcze	śledczego	śledczemu	śledcze	śledczym/śledczem	śledczym/śledczem	śledcze	śledcze	śledczych	śledczym	śledcze	śledczymi	śledczych	śledcze
leśnicze	leśniczego	leśniczemu	leśnicze	leśniczym/leśniczem	leśniczym/leśniczem	leśnicze	leśnicze	leśniczych	leśniczym	leśnicze	leśniczymi	leśniczych	leśnicze
nastawnicze	nastawniczego	nastawniczemu	nastawnicze	nastawniczym/nastawniczem	nastawniczym/nastawniczem	nastawnicze	nastawnicze	nastawniczych	nastawniczym	nastawnicze	nastawniczymi	nastawniczych	nastawnicze
do	da	du	do	dem	dzie	de	da	dów	dom	da	dami	dach	da
sze	sza	szu	sze	szem	szu	sze	sze	szy/szów	szom	sze	szami	szach	sze
budownicze	budowniczego	budowniczemu	budownicze	budowniczym/budowniczem	budowniczym/budowniczem	budownicze	budownicz	budowniczych	budowniczom	budownicze	budowniczymi	budowniczych
sie	sia	siu	sie	siem	siu	sie	sia	ś/siów	siom	sie	siami	siach	sie
bo	ba	bu	bo	bem	bu	bo	ba	bów	bom	ba	bami	bach	ba
