key	description	normative	pronoun_subject	pronoun_object	possessive_determiner	possessive_pronoun	reflexive	plural	pluralHonorific	history	sources
he,he/him	Masculine	TRUE	he	him	his	his	himself	FALSE	FALSE
she,she/her	Feminine	TRUE	she	her	her	hers	herself	FALSE	FALSE
they,they/them	Neutral (?)	TRUE	they	them	their	theirs	themselves	TRUE	TRUE
