name	pronouns	description
Pronomes normativos	ela,ele	É muito importante para relembrar que pronomes ≠ gênero. Uma pessoa não binária pode usar os pronomes normativos e ela continua sendo não binária.
Neopronomes	elu,ilu,ile,el,ili,ily,éli,elé,ilo,êlu,yn,ale	Uma parte das pessoas não binárias não se sente confortável com os pronomes binários e por isso começou a criar pronomes com os quais elas se sentem confortável. Não existe um pronome "mais correto", todos têm que ser respeitados.
Pronomes gráficos	elx,el*,el@,el_,el',ael,elae,eld	São os pronomes só para usar em forma escrita, não são pronunciáveis. Eles podem causar problemas para as pessoas que usam os leitores da tela.
