key	type	author	title	extra	year	fragments	comment	link
zapachKosmosu	Book	Ginny Nawrocka	Cierpki zapach kosmosu	w: „Tęczowe i fantastyczne”	2020	Ja, Gosia, Ewa i Jacek. Gosia była najmłodsza... Jest najmłodsza. Jacek jest z tego samego roku, co ja, ale onu urodziłu się na początku, a ja pod koniec. A Ewa jest pięć lat starszy ode mnie.	oprócz tego także postaci niebinarne używające męskich i żeńskich form
confirmatio	Book	Bartek Biedrzycki	Confirmatio Vir Llamki, albo o wizycie Nieziemca Macka Simma na Starej Ziemi	w: „Dzieje się”	2018	Usiedli. Vir wskoczyło na łóżko i zainstalowało się tam po turecku, Simm przysiadł na obrotowym krześle przy biurku.|– Jak dorosnę, to chcę polecieć na Marsa.|– Przecież już byłoś u mnie dwa razy.|– Ale ja chcę na stałe
perfekcyjna	Book	Jacek Dukaj	Perfekcyjna niedoskonałość		2003	– Do Creytona powinniśmy dotrzeć w ciągu trzydziestu ośmiu k-godzin. Nawet zważywszy na utratę krwi pana i stahs McPherson– |– Chciałuś powiedzieć – przerwał nu Zamoyski – powinniśmy byli tam dotrzeć. Samu twierdzisz, że po odcięciu od Plateau nie wiesz nawet, w którą stronę lecimy. Swoją drogą, zastanawiam się, jak to możliwe. Przecież chyba pamiętasz, gdzie celowałuś.
silaNizsza	Book	Marta Kisiel	Siła niższa		2016	– Ja co prawda słabo znam gościa - odparł po kilku chwilach - ale tak sobie myślę, że on to nie lubi nikogo. |– Nawet swojego człowieka? Przecież jest aniołem stróżem. Ja swoich zawsze lubiłom. Jak miałobym im stróżować bez lubienia?
smoczaPerla	Book	Yoon Ha Lee	Smocza perła	tłumaczenie: Agnieszka Fulińska i Aleksandra Klęczar	2019	– Idzie ci lepiej niż zwykle – oznajmiło w końcu Sujin. Nie zauważyłam, że pogrążone w lekturze książki dotyczącej chemii zwracało na nas w ogóle uwagę.
lewaReka	Book	Ursula K. Le Guin	Lewa ręka ciemności	tłum. Lech Jęczmyk	1987		postać niebinarna używająca form męskich
zabSpraw	Book	Ann Leckie	Zabójcza sprawiedliwość	tłum. Danuta Górska	2015		postać niebinarna używająca form żeńskich
zabMiecz	Book	Ann Leckie	Zabójczy miecz	tłum. Danuta Górska	2016		postać niebinarna używająca form żeńskich
krolowaZimy	Book	Ursula K. Le Guin	Królowa Zimy	w: „Wszystkie strony świata”, tłum. Lech Jęczmyk	1980		postać niebinarna używająca form żeńskich
milo	Article	Małgorzata Goślińska	Zrobimy z ciebie mężczyznę	w: „Magazyn TVN24”	2019	Milo nie miało myśli erotycznych. Tak boleśnie myślało o własnym ciele, że nie potrafiło myśleć o nim w towarzystwie innych ciał. Ale żeby zmienić ciało, musiało odpowiedzieć u psychologa na pytania: Od kiedy się masturbujesz? Jak to robisz? O czym wtedy myślisz? W jakiej pozycji uprawiasz seks? Jak się całujesz? Milo było rozdarte, nie lubiło kłamać.@Przez jeden dzień Milo się cieszyło. Ale to był krok w bok. Milo nie posunęło się do przodu w kierunku tranzycji prawnej ani medycznej. Uznali imię, nie tożsamość. W dowodzie pozostała literka M. Milo było osobą niebinarną, ale z dwojga złego wolałoby literkę K. Było rozdarte. Nie lubiło swojego męskiego ciała, dlatego postanowiło przejść tranzycję. Ale nie po to wyrwało się z klatki chłopca, żeby wejść w kolejną klatkę. Chciało być sobą.	Milo - historia życia i śmierci	https://tvn24.pl/magazyn-tvn24/zrobimy-z-ciebie-mezczyzne,242,4189
starTrek	Series		Star Trek: Następne Pokolenie, sezon 5 odcinek 17 „Wyklęci”/„Presja społeczna”	tłumaczenie: Kamil Borek	2016	– Radzisz sobie, jakbyś dorastało w wahadłowcu.|– Dorastałom. Moi rodzice to piloci. Latałom z nimi, zanim umiałom chodzić.		https://www.netflix.com/watch/70177979
