name	count
ARLETTA	331
NEL	327
IWONNA	325
SYBILLA	324
AGNES	323
SABRINA	319
EDELTRAUDA	318
DOBRAWA	315
RUTH	315
NATALIE	314
CAROLINE	313
ALA	308
MARGARETA	307
OKSANA	306
VERONIKA	305
DAJANA	305
FATIMA	303
ERNESTYNA	302
FRYDERYKA	302
WILHELMINA	300
CHARLOTTE	298
CATHERINE	296
WALESKA	296
ALICE	295
SCHOLASTYKA	294
INGRID	292
JAGNA	292
RADOSŁAWA	289
IRMGARDA	288
AUGUSTA	283
KAROLA	282
LUBOMIRA	279
ROBERTA	279
KATHARINA	278
DŻESIKA	277
CAROLINA	272
JENNIFER	271
ABIGAIL	267
AURORA	265
EMILA	263
JOHANNA	262
KSAWERA	261
IRENE	259
ELA	257
KASANDRA	256
ADAMINA	255
LESŁAWA	254
BENIGNA	253
ALICIA	250
DOBROCHNA	250
SZARLOTA	249
NIKOL	248
MODESTA	246
DALIA	243
MARTINA	243
ROSA	242
LUKRECJA	242
MICHAELA	242
NICOL	241
MONICA	241
MARGOT	239
LUCIA	239
IDALIA	236
BENITA	234
KARIN	233
IZYDORA	232
SIMONA	231
SERAFINA	230
LARA	229
DOBROMIŁA	228
HELEN	227
DOLORES	225
ZBIGNIEWA	224
MARITA	223
KRISTINA	222
MARTHA	219
JOLENTA	215
LUDOMIRA	215
ELZA	213
MAJKA	213
LUDWINA	213
HERMINA	213
EUNIKA	212
MIŁOSŁAWA	210
ANASTASIA	209
LEONA	208
HALSZKA	207
JULITTA	206
LILY	205
LEONORA	205
CYRYLA	203
JOSEPHINE	202
ISABELLE	200
MIRANDA	197
IZOLDA	196
FRANCESCA	196
ALBERTYNA	196
NAOMI	195
KONSTANTYNA	195
LYNN	193
ANIKA	192
LUISA	192
FILIPINA	192
ELLA	189
ZOJA	189
REBEKA	189
VIOLETA	188
BIBIANNA	187
ELZBIETA	185
BOGDA	185
DAGNA	184
RYTA	183
KSYMENA	182
MARGARITA	182
LISA	182
ŻANETTA	181
INGEBORGA	181
RACHEL	178
RUT	177
DEBORA	176
ARIADNA	174
ZOE	173
KATHERINE	173
KAUR	172
ALOJZA	172
